code,description
49.05,"Obras cartográficas de qualquer espécie, incluindo as cartas murais, as plantas topográficas e os globos, impressas."
4905.20.00,- Sob a forma de livros ou brochuras
4905.90.00,- Outras
4906.00.00,"Planos, plantas e desenhos, de arquitetura, de engenharia e outros planos e desenhos industriais, comerciais, topográficos ou semelhantes, originais, feitos à mão; textos manuscritos; reproduções fotográficas em papel sensibilizado e cópias a papel-carbono (papel químico) dos planos, plantas, desenhos ou textos acima referidos."
4907.00,"Selos postais, fiscais e semelhantes, não obliterados, tendo ou destinando-se a ter curso legal no país em que têm, ou terão, um valor facial reconhecido; papel selado; notas (papéis-moeda); cheques; certificados de ações ou de obrigações e títulos semelhantes."
4907.00.10,Notas (papéis-moeda)
4907.00.20,Cheques de viagem
4907.00.30,"Títulos de ações ou de obrigações e títulos semelhantes, convalidados e firmados"
4907.00.90,Outros
49.08,Decalcomanias de qualquer espécie.
4908.10.00,- Decalcomanias vitrificáveis
4908.90.00,- Outras
4909.00.00,"Cartões-postais impressos ou ilustrados; cartões impressos com votos ou mensagens pessoais, mesmo ilustrados, mesmo com envelopes, guarnições ou aplicações."
4910.00.00,"Calendários de qualquer espécie, impressos, incluindo os blocos-calendários para desfolhar."
49.11,"Outros impressos, incluindo as estampas, gravuras e fotografias."
4911.10,"- Impressos publicitários, catálogos comerciais e semelhantes"
4911.10.10,"Que contenham informações relativas ao funcionamento, manutenção, reparo ou utilização de máquinas, aparelhos, veículos e outras mercadorias de origem extrazona"
4911.10.90,Outros
4911.9,- Outros:
4911.91.00,"-- Estampas, gravuras e fotografias"
4911.99.00,-- Outros
50,Seda.
5001.00.00,Casulos de bicho-da-seda próprios para dobar.
5002.00.00,Seda crua (não fiada).
5003.00,"Desperdícios de seda (incluindo os casulos de bicho-da-seda impróprios para dobar, os desperdícios de fios e os fiapos)."
5003.00.10,Não cardados nem penteados
5003.00.90,Outros
5004.00.00,Fios de seda (exceto fios de desperdícios de seda) não acondicionados para venda a retalho.
5005.00.00,"Fios de desperdícios de seda, não acondicionados para venda a retalho."
5006.00.00,"Fios de seda ou de desperdícios de seda, acondicionados para venda a retalho; pelo de Messina (crina de Florença)."
50.07,Tecidos de seda ou de desperdícios de seda.
5007.10,- Tecidos de bourrette (noil silk)
5007.10.10,"Estampados, tintos ou de fios de diversas cores"
5007.10.90,Outros
5007.20,"- Outros tecidos que contenham pelo menos 85 %, em peso, de seda ou de desperdícios de seda, exceto bourrette (noil silk)"
5007.20.10,"Estampados, tintos ou de fios de diversas cores"
5007.20.90,Outros
5007.90.00,- Outros tecidos
51,"Lã, pelos finos ou grosseiros; fios e tecidos de crina."
51.01,Lã não cardada nem penteada.
5101.1,"- Lã suja, incluindo a lã lavada a dorso:"
5101.11,-- Lã de tosquia
5101.11.10,"De finura igual ou superior 22,05 micrômetros (mícrons), mas inferior ou igual a 32,6 micrômetros (mícrons)"
5101.11.90,Outra
5101.19.00,-- Outra
5101.2,"- Desengordurada, não carbonizada:"
5101.21.00,-- Lã de tosquia
5101.29.00,-- Outra
5101.30.00,- Carbonizada
51.02,"Pelos finos ou grosseiros, não cardados nem penteados."
5102.1,- Pelos finos:
5102.11.00,-- De cabra de Caxemira
5102.19.00,-- Outros
5102.20.00,- Pelos grosseiros
51.03,"Desperdícios de lã ou de pelos finos ou grosseiros, incluindo os desperdícios de fios e excluindo os fiapos."
5103.10.00,- Desperdícios da penteação de lã ou de pelos finos
5103.20.00,- Outros desperdícios de lã ou de pelos finos
5103.30.00,- Desperdícios de pelos grosseiros
5104.00.00,Fiapos de lã ou de pelos finos ou grosseiros.
51.05,"Lã, pelos finos ou grosseiros, cardados ou penteados (incluindo a ""lã penteada a granel"")."
5105.10.00,- Lã cardada
5105.2,- Lã penteada:
5105.21.00,"-- ""Lã penteada a granel"""
5105.29,-- Outra
5105.29.10,Tops
5105.29.9,Outras
5105.29.91,"De finura inferior a 22,5 micrômetros (mícrons)"
5105.29.99,Outras
5105.3,"- Pelos finos, cardados ou penteados:"
5105.31.00,-- De cabra de Caxemira
5105.39.00,-- Outros
5105.40.00,"- Pelos grosseiros, cardados ou penteados"
51.06,"Fios de lã cardada, não acondicionados para venda a retalho."
5106.10.00,"- Que contenham pelo menos 85 %, em peso, de lã"
5106.20.00,"- Que contenham menos de 85 %, em peso, de lã"
51.07,"Fios de lã penteada, não acondicionados para venda a retalho."
5107.10,"- Que contenham pelo menos 85 %, em peso, de lã"
5107.10.1,Retorcidos ou retorcidos múltiplos
5107.10.11,"De dois cabos, de título inferior ou igual a 184,58 decitex por cabo"
5107.10.19,Outros
5107.10.90,Outros
5107.20.00,"- Que contenham menos de 85 %, em peso, de lã"
51.08,"Fios de pelos finos, cardados ou penteados, não acondicionados para venda a retalho."
5108.10.00,- Cardados
5108.20.00,- Penteados
51.09,"Fios de lã ou de pelos finos, acondicionados para venda a retalho."
5109.10.00,"- Que contenham pelo menos 85 %, em peso, de lã ou de pelos finos"
5109.90.00,- Outros
5110.00.00,"Fios de pelos grosseiros ou de crina (incluindo os fios de crina revestidos por enrolamento), mesmo acondicionados para venda a retalho."
51.11,Tecidos de lã cardada ou de pelos finos cardados.
5111.1,"- Que contenham pelo menos 85 %, em peso, de lã ou de pelos finos:"
5111.11,-- De peso não superior a 300 g/m2
5111.11.10,De lã
5111.11.20,De pelos finos
5111.19.00,-- Outros
5111.20.00,"- Outros, combinados, principal ou unicamente, com filamentos sintéticos ou artificiais"
5111.30,"- Outros, combinados, principal ou unicamente, com fibras sintéticas ou artificiais descontínuas"
5111.30.10,"De lã, feltrados, com trama combinada exclusivamente com fibras sintéticas e urdidura exclusivamente de algodão, de peso igual ou superior a 600 g/m2, próprios para fabricação de bolas de tênis"
5111.30.90,Outros
5111.90.00,- Outros
51.12,Tecidos de lã penteada ou de pelos finos penteados.
5112.1,"- Que contenham pelo menos 85 %, em peso, de lã ou de pelos finos:"
5112.11.00,-- De peso não superior a 200 g/m2
5112.19,-- Outros
5112.19.10,De lã
5112.19.20,De pelos finos
5112.20,"- Outros, combinados, principal ou unicamente, com filamentos sintéticos ou artificiais"
5112.20.10,De lã
5112.20.20,De pelos finos
5112.30,"- Outros, combinados, principal ou unicamente, com fibras sintéticas ou artificiais descontínuas"
5112.30.10,De lã
5112.30.20,De pelos finos
5112.90.00,- Outros
5113.00,Tecidos de pelos grosseiros ou de crina.
5113.00.1,De pelos grosseiros
5113.00.11,"Que contenham pelo menos 85 %, em peso, de pelos grosseiros"
5113.00.12,"Que contenham menos de 85 %, em peso, de pelos grosseiros e que contenham algodão"
5113.00.13,"Que contenham menos de 85 %, em peso, de pelos grosseiros e que não contenham algodão"
5113.00.20,De crina
52,Algodão.
5201.00,Algodão não cardado nem penteado.
5201.00.10,Não debulhado
5201.00.20,Simplesmente debulhado
5201.00.90,Outros
52.02,Desperdícios de algodão (incluindo os desperdícios de fios e os fiapos).
5202.10.00,- Desperdícios de fios
5202.9,- Outros:
5202.91.00,-- Fiapos
5202.99.00,-- Outros
5203.00.00,Algodão cardado ou penteado.
52.04,"Linhas para costurar, de algodão, mesmo acondicionadas para venda a retalho."
5204.1,- Não acondicionadas para venda a retalho:
5204.11,"-- Que contenham pelo menos 85 %, em peso, de algodão"
5204.11.1,"De algodão cru, de título inferior ou igual a 5.000 decitex por fio simples"
5204.11.11,De dois cabos
5204.11.12,De três ou mais cabos
5204.11.20,"De algodão cru, de título superior a 5.000 decitex por fio simples"
5204.11.3,"De algodão branqueado ou colorido, de título inferior ou igual a 5.000 decitex por fio simples"
5204.11.31,De dois cabos
5204.11.32,De três ou mais cabos
5204.11.40,"De algodão branqueado ou colorido, de título superior a 5.000 decitex por fio simples"
5204.19,-- Outras
5204.19.1,"De algodão cru, de título inferior ou igual a 5.000 decitex por fio simples"
5204.19.11,De dois cabos
5204.19.12,De três ou mais cabos
5204.19.20,"De algodão cru, de título superior a 5.000 decitex por fio simples"
5204.19.3,"De algodão branqueado ou colorido, de título inferior ou igual a 5.000 decitex por fio simples"
5204.19.31,De dois cabos
5204.19.32,De três ou mais cabos
5204.19.40,"De algodão branqueado ou colorido, de título superior a 5.000 decitex por fio simples"
5204.20.00,- Acondicionadas para venda a retalho
52.05,"Fios de algodão (exceto linhas para costurar) que contenham pelo menos 85 %, em peso, de algodão, não acondicionados para venda a retalho."
5205.1,"- Fios simples, de fibras não penteadas:"
5205.11.00,"-- De título igual ou superior a 714,29 decitex (número métrico não superior a 14)"
5205.12.00,"-- De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex (número métrico superior a 14, mas não superior a 43)"
5205.13,"-- De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex (número métrico superior a 43, mas não superior a 52)"
5205.13.10,Crus
5205.13.90,Outros
5205.14.00,"-- De título inferior a 192,31 decitex, mas não inferior a 125 decitex (número métrico superior a 52, mas não superior a 80)"
5205.15.00,-- De título inferior a 125 decitex (número métrico superior a 80)
5205.2,"- Fios simples, de fibras penteadas:"
5205.21.00,"-- De título igual ou superior a 714,29 decitex (número métrico não superior a 14)"
5205.22.00,"-- De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex (número métrico superior a 14, mas não superior a 43)"
5205.23,"-- De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex (número métrico superior a 43, mas não superior a 52)"
5205.23.10,Crus
5205.23.90,Outros
5205.24.00,"-- De título inferior a 192,31 decitex, mas não inferior a 125 decitex (número métrico superior a 52, mas não superior a 80)"
5205.26.00,"-- De título inferior a 125 decitex, mas não inferior a 106,38 decitex (número métrico superior a 80, mas não superior a 94)"
5205.27.00,"-- De título inferior a 106,38 decitex, mas não inferior a 83,33 decitex (número métrico superior a 94, mas não superior a 120)"
5205.28.00,"-- De título inferior a 83,33 decitex (número métrico superior a 120)"
5205.3,"- Fios retorcidos ou retorcidos múltiplos, de fibras não penteadas:"
5205.31.00,"-- De título igual ou superior a 714,29 decitex por fio simples (número métrico não superior a 14, por fio simples)"
5205.32.00,"-- De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex por fio simples (número métrico superior a 14, mas não superior a 43, por fio simples)"
5205.33.00,"-- De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex por fio simples (número métrico superior a 43, mas não superior a 52, por fio simples)"
5205.34.00,"-- De título inferior a 192,31 decitex, mas não inferior a 125 decitex por fio simples (número métrico superior a 52, mas não superior a 80, por fio simples)"
5205.35.00,"-- De título inferior a 125 decitex por fio simples (número métrico superior a 80, por fio simples)"
5205.4,"- Fios retorcidos ou retorcidos múltiplos, de fibras penteadas:"
5205.41.00,"-- De título igual ou superior a 714,29 decitex por fio simples (número métrico não superior a 14, por fio simples)"
5205.42.00,"-- De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex por fio simples (número métrico superior a 14, mas não superior a 43, por fio simples)"
5205.43.00,"-- De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex por fio simples (número métrico superior a 43, mas não superior a 52, por fio simples)"
5205.44.00,"-- De título inferior a 192,31 decitex, mas não inferior a 125 decitex por fio simples (número métrico superior a 52, mas não superior a 80, por fio simples)"
5205.46.00,"-- De título inferior a 125 decitex, mas não inferior a 106,38 decitex por fio simples (número métrico superior a 80, mas não superior a 94, por fio simples)"
5205.47.00,"-- De título inferior a 106,38 decitex, mas não inferior a 83,33 decitex por fio simples (número métrico superior a 94, mas não superior a 120, por fio simples)"
5205.48.00,"-- De título inferior a 83,33 decitex por fio simples (número métrico superior a 120, por fio simples)"
52.06,"Fios de algodão (exceto linhas para costurar) que contenham menos de 85 %, em peso, de algodão, não acondicionados para venda a retalho."
5206.1,"- Fios simples, de fibras não penteadas:"
5206.11.00,"-- De título igual ou superior a 714,29 decitex (número métrico não superior a 14)"
5206.12.00,"-- De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex (número métrico superior a 14, mas não superior a 43)"
5206.13.00,"-- De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex (número métrico superior a 43, mas não superior a 52)"
5206.14.00,"-- De título inferior a 192,31 decitex, mas não inferior a 125 decitex (número métrico superior a 52, mas não superior a 80)"
5206.15.00,-- De título inferior a 125 decitex (número métrico superior a 80)
5206.2,"- Fios simples, de fibras penteadas:"
5206.21.00,"-- De título igual ou superior a 714,29 decitex (número métrico não superior a 14)"
5206.22.00,"-- De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex (número métrico superior a 14, mas não superior a 43)"
5206.23.00,"-- De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex (número métrico superior a 43, mas não superior a 52)"
5206.24.00,"-- De título inferior a 192,31 decitex, mas não inferior a 125 decitex (número métrico superior a 52, mas não superior a 80)"
5206.25.00,-- De título inferior a 125 decitex (número métrico superior a 80)
5206.3,"- Fios retorcidos ou retorcidos múltiplos, de fibras não penteadas:"
5206.31.00,"-- De título igual ou superior a 714,29 decitex por fio simples (número métrico não superior a 14, por fio simples)"
5206.32.00,"-- De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex por fio simples (número métrico superior a 14, mas não superior a 43, por fio simples)"
5206.33.00,"-- De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex por fio simples (número métrico superior a 43, mas não superior a 52, por fio simples)"
5206.34.00,"-- De título inferior a 192,31 decitex, mas não inferior a 125 decitex por fio simples (número métrico superior a 52, mas não superior a 80, por fio simples)"
5206.35.00,"-- De título inferior a 125 decitex por fio simples (número métrico superior a 80, por fio simples)"
5206.4,"- Fios retorcidos ou retorcidos múltiplos, de fibras penteadas:"
5206.41.00,"-- De título igual ou superior a 714,29 decitex por fio simples (número métrico não superior a 14, por fio simples)"
5206.42.00,"-- De título inferior a 714,29 decitex, mas não inferior a 232,56 decitex por fio simples (número métrico superior a 14, mas não superior a 43, por fio simples)"
5206.43.00,"-- De título inferior a 232,56 decitex, mas não inferior a 192,31 decitex por fio simples (número métrico superior a 43, mas não superior a 52, por fio simples)"
5206.44.00,"-- De título inferior a 192,31 decitex, mas não inferior a 125 decitex por fio simples (número métrico superior a 52, mas não superior a 80, por fio simples)"
5206.45.00,"-- De título inferior a 125 decitex por fio simples (número métrico superior a 80, por fio simples)"
52.07,Fios de algodão (exceto linhas para costurar) acondicionados para venda a retalho.
5207.10.00,"- Que contenham pelo menos 85 %, em peso, de algodão"
5207.90.00,- Outros
52.08,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, de peso não superior a 200 g/m2."
5208.1,- Crus:
5208.11.00,"-- Em ponto de tafetá, de peso não superior a 100 g/m2"
5208.12.00,"-- Em ponto de tafetá, de peso superior a 100 g/m2"
5208.13.00,"-- Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5208.19.00,-- Outros tecidos
5208.2,- Branqueados:
5208.21.00,"-- Em ponto de tafetá, de peso não superior a 100 g/m2"
5208.22.00,"-- Em ponto de tafetá, de peso superior a 100 g/m2"
5208.23.00,"-- Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5208.29.00,-- Outros tecidos
5208.3,- Tintos:
5208.31.00,"-- Em ponto de tafetá, de peso não superior a 100 g/m2"
5208.32.00,"-- Em ponto de tafetá, de peso superior a 100 g/m2"
5208.33.00,"-- Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5208.39.00,-- Outros tecidos
5208.4,- De fios de diversas cores:
5208.41.00,"-- Em ponto de tafetá, de peso não superior a 100 g/m2"
5208.42.00,"-- Em ponto de tafetá, de peso superior a 100 g/m2"
5208.43.00,"-- Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5208.49.00,-- Outros tecidos
5208.5,- Estampados:
5208.51.00,"-- Em ponto de tafetá, de peso não superior a 100 g/m2"
5208.52.00,"-- Em ponto de tafetá, de peso superior a 100 g/m2"
5208.59,-- Outros tecidos
5208.59.10,"Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5208.59.90,Outros
52.09,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, de peso superior a 200 g/m2."
5209.1,- Crus:
5209.11.00,-- Em ponto de tafetá
5209.12.00,"-- Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5209.19.00,-- Outros tecidos
5209.2,- Branqueados:
5209.21.00,-- Em ponto de tafetá
5209.22.00,"-- Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5209.29.00,-- Outros tecidos
5209.3,- Tintos:
5209.31.00,-- Em ponto de tafetá
5209.32.00,"-- Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5209.39.00,-- Outros tecidos
5209.4,- De fios de diversas cores:
5209.41.00,-- Em ponto de tafetá
5209.42,-- Tecidos denominados Denim
5209.42.10,Com fios tintos em indigo blue segundo Color Index 73000
5209.42.90,Outros
5209.43.00,"-- Outros tecidos em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5209.49.00,-- Outros tecidos
5209.5,- Estampados:
5209.51.00,-- Em ponto de tafetá
5209.52.00,"-- Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5209.59.00,-- Outros tecidos
52.10,"Tecidos de algodão que contenham menos de 85 %, em peso, de algodão, combinados, principal ou unicamente, com fibras sintéticas ou artificiais, de peso não superior a 200 g/m2."
5210.1,- Crus:
5210.11.00,-- Em ponto de tafetá
5210.19,-- Outros tecidos
5210.19.10,"Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5210.19.90,Outros
5210.2,- Branqueados:
5210.21.00,-- Em ponto de tafetá
5210.29,-- Outros tecidos
5210.29.10,"Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5210.29.90,Outros
5210.3,- Tintos:
5210.31.00,-- Em ponto de tafetá
5210.32.00,"-- Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5210.39.00,-- Outros tecidos
5210.4,- De fios de diversas cores:
5210.41.00,-- Em ponto de tafetá
5210.49,-- Outros tecidos
5210.49.10,"Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5210.49.90,Outros
5210.5,- Estampados:
5210.51.00,-- Em ponto de tafetá
5210.59,-- Outros tecidos
5210.59.10,"Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5210.59.90,Outros
52.11,"Tecidos de algodão que contenham menos de 85 %, em peso, de algodão, combinados, principal ou unicamente, com fibras sintéticas ou artificiais, de peso superior a 200 g/m2."
5211.1,- Crus:
5211.11.00,-- Em ponto de tafetá
5211.12.00,"-- Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5211.19.00,-- Outros tecidos
5211.20,- Branqueados
5211.20.10,Em ponto de tafetá
5211.20.20,"Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5211.20.90,Outros
5211.3,- Tintos:
5211.31.00,-- Em ponto de tafetá
5211.32.00,"-- Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5211.39.00,-- Outros tecidos
5211.4,- De fios de diversas cores:
5211.41.00,-- Em ponto de tafetá
5211.42,-- Tecidos denominados Denim
5211.42.10,Com fios tintos em indigo blue segundo Color Index 73000
5211.42.90,Outros
5211.43.00,"-- Outros tecidos em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5211.49.00,-- Outros tecidos
5211.5,- Estampados:
5211.51.00,-- Em ponto de tafetá
5211.52.00,"-- Em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4"
5211.59.00,-- Outros tecidos
52.12,Outros tecidos de algodão.
5212.1,- De peso não superior a 200 g/m2:
5212.11.00,-- Crus
5212.12.00,-- Branqueados
5212.13.00,-- Tintos
5212.14.00,-- De fios de diversas cores
5212.15.00,-- Estampados
5212.2,- De peso superior a 200 g/m2:
5212.21.00,-- Crus
5212.22.00,-- Branqueados
5212.23.00,-- Tintos
5212.24.00,-- De fios de diversas cores
5212.25.00,-- Estampados
53,Outras fibras têxteis vegetais; fios de papel e tecidos de fios de papel.
53.01,"Linho em bruto ou trabalhado, mas não fiado; estopas e desperdícios de linho (incluindo os desperdícios de fios e os fiapos)."
5301.10.00,- Linho em bruto ou macerado
5301.2,"- Linho quebrado, espadelado, penteado ou trabalhado de outra forma, mas não fiado:"
5301.21,-- Quebrado ou espadelado
5301.21.10,Quebrado
5301.21.20,Espadelado
5301.29,-- Outro
5301.29.10,Penteado
5301.29.90,Outro
5301.30.00,- Estopas e desperdícios de linho
53.02,"Cânhamo (Cannabis sativa L.), em bruto ou trabalhado, mas não fiado; estopas e desperdícios de cânhamo (incluindo os desperdícios de fios e os fiapos)."
5302.10.00,- Cânhamo em bruto ou macerado
5302.90.00,- Outros
53.03,"Juta e outras fibras têxteis liberianas (exceto linho, cânhamo e rami), em bruto ou trabalhadas, mas não fiadas; estopas e desperdícios destas fibras (incluindo os desperdícios de fios e os fiapos)."
5303.10,"- Juta e outras fibras têxteis liberianas, em bruto ou maceradas"
5303.10.10,Juta
5303.10.90,Outras
5303.90,- Outros
5303.90.10,Juta
5303.90.90,Outros
5305.00,"Cairo (fibra de coco), abacá (cânhamo-de-manilha ou Musa textilis Nee), rami e outras fibras têxteis vegetais não especificadas nem compreendidas noutras posições, em bruto ou trabalhados, mas não fiados; estopas e desperdícios destas fibras (incluindo os desperdícios de fios e os fiapos)."
5305.00.10,"De abacá, em bruto"
5305.00.90,Outros
53.06,Fios de linho.
5306.10.00,- Simples
5306.20.00,- Retorcidos ou retorcidos múltiplos
53.07,Fios de juta ou de outras fibras têxteis liberianas da posição 53.03.
5307.10,- Simples
5307.10.10,De juta
5307.10.90,Outros
5307.20,- Retorcidos ou retorcidos múltiplos
5307.20.10,De juta
5307.20.90,Outros
53.08,Fios de outras fibras têxteis vegetais; fios de papel.
5308.10.00,- Fios de cairo (fibra de coco)
5308.20.00,- Fios de cânhamo
5308.90.00,- Outros
53.09,Tecidos de linho.
5309.1,"- Que contenham pelo menos 85 %, em peso, de linho:"
5309.11.00,-- Crus ou branqueados
5309.19.00,-- Outros
5309.2,"- Que contenham menos de 85 %, em peso, de linho:"
5309.21.00,-- Crus ou branqueados
5309.29.00,-- Outros
53.10,Tecidos de juta ou de outras fibras têxteis liberianas da posição 53.03.
5310.10,- Crus
5310.10.10,Aniagem de juta
5310.10.90,Outros
5310.90.00,- Outros
5311.00.00,Tecidos de outras fibras têxteis vegetais; tecidos de fios de papel.
54,Filamentos sintéticos ou artificiais; lâminas e formas semelhantes de matérias têxteis sintéticas ou artificiais.
54.01,"Linhas para costurar de filamentos sintéticos ou artificiais, mesmo acondicionadas para venda a retalho."
5401.10,- De filamentos sintéticos
5401.10.1,De poliéster
5401.10.11,Não acondicionadas para venda a retalho
5401.10.12,Acondicionadas para venda a retalho
5401.10.90,Outras
5401.20,- De filamentos artificiais
5401.20.1,"De raiom viscose, de alta tenacidade"
5401.20.11,Não acondicionadas para venda a retalho
5401.20.12,Acondicionadas para venda a retalho
5401.20.90,Outras
54.02,"Fios de filamentos sintéticos (exceto linhas para costurar), não acondicionados para venda a retalho, incluindo os monofilamentos sintéticos de título inferior a 67 decitex."
5402.1,"- Fios de alta tenacidade, de náilon ou de outras poliamidas, mesmo texturizados:"
5402.11.00,-- De aramidas
5402.19,-- Outros
5402.19.10,De náilon
5402.19.90,Outros
5402.20,"- Fios de alta tenacidade, de poliésteres, mesmo texturizados"
5402.20.10,De copolímero de ácido p-hidroxibenzoico e ácido hidroxinaftoico
5402.20.90,Outros
5402.3,- Fios texturizados:
5402.31,"-- De náilon ou de outras poliamidas, de título não superior a 50 tex por fio simples"
5402.31.1,De náilon
5402.31.11,Tintos
5402.31.19,Outros
5402.31.90,Outros
5402.32,"-- De náilon ou de outras poliamidas, de título superior a 50 tex por fio simples"
5402.32.1,De náilon
5402.32.11,"Multifilamento com efeito antiestático permanente, de título superior a 110 tex"
5402.32.19,Outros
5402.32.90,Outros
5402.33,-- De poliésteres
5402.33.10,Crus
5402.33.20,Tintos
5402.33.90,Outros
5402.34.00,-- De polipropileno
5402.39.00,-- Outros
5402.4,"- Outros fios, simples, sem torção ou com torção não superior a 50 voltas por metro:"
5402.44.00,-- De elastômeros
5402.45,"-- Outros, de náilon ou de outras poliamidas"
5402.45.10,De aramidas
5402.45.20,De náilon
5402.45.90,Outros
5402.46.00,"-- Outros, de poliésteres, parcialmente orientados"
5402.47,"-- Outros, de poliésteres"
5402.47.10,Crus
5402.47.20,Tintos
5402.47.90,Outros
5402.48.00,"-- Outros, de polipropileno"
5402.49,-- Outros
5402.49.10,"De polietileno, com tenacidade igual ou superior a 26 cN/tex"
5402.49.90,Outros
5402.5,"- Outros fios, simples, com torção superior a 50 voltas por metro:"
5402.51,-- De náilon ou de outras poliamidas
5402.51.10,De aramidas
5402.51.90,Outros
5402.52.00,-- De poliésteres
5402.53.00,-- De polipropileno
5402.59.00,-- Outros
5402.6,"- Outros fios, retorcidos ou retorcidos múltiplos:"
5402.61,-- De náilon ou de outras poliamidas
5402.61.10,De aramidas
5402.61.90,Outros
5402.62.00,-- De poliésteres
5402.63.00,-- De polipropileno
5402.69.00,-- Outros
54.03,"Fios de filamentos artificiais (exceto linhas para costurar), não acondicionados para venda a retalho, incluindo os monofilamentos artificiais de título inferior a 67 decitex."
5403.10.00,"- Fios de alta tenacidade, de raiom viscose"
5403.3,"- Outros fios, simples:"
5403.31,"-- De raiom viscose, sem torção ou com torção não superior a 120 voltas por metro"
5403.31.10,Crus ou branqueados
5403.31.90,Outros
5403.32.00,"-- De raiom viscose, com torção superior a 120 voltas por metro"
5403.33.00,-- De acetato de celulose
5403.39.00,-- Outros
5403.4,"- Outros fios, retorcidos ou retorcidos múltiplos:"
5403.41.00,-- De raiom viscose
5403.42.00,-- De acetato de celulose
5403.49.00,-- Outros
54.04,"Monofilamentos sintéticos, de título igual ou superior a 67 decitex e cuja maior dimensão da seção transversal não seja superior a 1 mm; lâminas e formas semelhantes (palha artificial, por exemplo) de matérias têxteis sintéticas, cuja largura aparente não seja superior a 5 mm."
5404.1,- Monofilamentos:
5404.11.00,-- De elastômeros
5404.12.00,"-- Outros, de polipropileno"
5404.19,-- Outros
5404.19.1,Imitações de categute
5404.19.11,Reabsorvíveis
5404.19.19,Outros
5404.19.90,Outros
5404.90.00,- Outras
5405.00.00,"Monofilamentos artificiais, de título igual ou superior a 67 decitex e cuja maior dimensão da seção transversal não seja superior a 1 mm; lâminas e formas semelhantes (palha artificial, por exemplo) de matérias têxteis artificiais, cuja largura aparente não seja superior a 5 mm."
5406.00,"Fios de filamentos sintéticos ou artificiais (exceto linhas para costurar), acondicionados para venda a retalho."
5406.00.10,Fios de filamentos sintéticos
5406.00.20,Fios de filamentos artificiais
54.07,"Tecidos de fios de filamentos sintéticos, incluindo os tecidos obtidos a partir dos produtos da posição 54.04."
5407.10,"- Tecidos obtidos a partir de fios de alta tenacidade, de náilon ou de outras poliamidas ou de poliésteres"
5407.10.1,Sem fios de borracha
5407.10.11,De aramidas
5407.10.19,Outros
5407.10.2,Com fios de borracha
5407.10.21,De aramidas
5407.10.29,Outros
5407.20.00,- Tecidos obtidos a partir de lâminas ou de formas semelhantes
5407.30.00,"- ""Tecidos"" mencionados na Nota 9 da Seção XI"
5407.4,"- Outros tecidos, que contenham pelo menos 85 %, em peso, de filamentos de náilon ou de outras poliamidas:"
5407.41.00,-- Crus ou branqueados
5407.42.00,-- Tintos
5407.43.00,-- De fios de diversas cores
5407.44.00,-- Estampados
5407.5,"- Outros tecidos, que contenham pelo menos 85 %, em peso, de filamentos de poliéster texturizados:"
5407.51.00,-- Crus ou branqueados
5407.52,-- Tintos
5407.52.10,Sem fios de borracha
5407.52.20,Com fios de borracha
5407.53.00,-- De fios de diversas cores
5407.54.00,-- Estampados
